Entry	Status	Gene names	Subcellular location [CC]
Q3TEA8	reviewed	Hp1bp3	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5SSJ5}. Chromosome {ECO:0000250|UniProtKB:Q5SSJ5}. Note=localized in nuclei but not in nucleoli in interphase. Colocalized with chromosomes in mitosis, with a gradually increased during G1 progression and a maximum level during late G1 phase (G1/S). {ECO:0000250|UniProtKB:Q5SSJ5}.
P01664	reviewed		
Q8C3X8	reviewed	Lmf2 Tmem112b Tmem153	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q3U0D9	reviewed	Hace1 Kiaa1320	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}. Cytoplasm {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Note=A significant portion localizes to the endoplasmic reticulum. Targeted to Golgi membrane via its interaction with Rab proteins (By similarity). {ECO:0000250}.
Q8BY71	reviewed	Hat1	SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000250}.
Q60675	reviewed	Lama2	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.
P55104	reviewed	Inhbc	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q8BUI3	reviewed	LRWD1 Orca	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9UFC0}. Chromosome, centromere {ECO:0000250|UniProtKB:Q9UFC0}. Chromosome, telomere {ECO:0000250|UniProtKB:Q9UFC0}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20180869}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9UFC0}. Note=Localizes to heterochromatin during G1 phase. Restricted to centromeres or telomeres as cells progress though S phase. When cells enter mitosis, relocalizes to centromeres. Recruitment to pericentric heterochromatin largely depends on the presence of H3K9me3. {ECO:0000250|UniProtKB:Q9UFC0}.
Q91V13	reviewed	Leap2	SUBCELLULAR LOCATION: Secreted.
Q9CZ57	reviewed	Nsun4 Shtap	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21531335}.
P28076	reviewed	Psmb9 Lmp2 Ring12	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.
P12979	reviewed	Myog	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:16424906}. Note=Recruited to late myogenic gene promoter regulatory sequences with SMARCA4/BRG1/BAF190A and SWI/SNF chromatin-remodeling enzymes to promote chromatin-remodeling and transcription initiation in developing embryos.
A2AQ14	reviewed	Oip5 Ms18b	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O43482}. Chromosome {ECO:0000250|UniProtKB:O43482}. Chromosome, centromere {ECO:0000250|UniProtKB:O43482}. Note=Associated with centromeres in interphase cells, from late anaphase to the G1 phase. Not detected on centromeres during earlier phases of mitosis. Associated with chromatin. {ECO:0000250|UniProtKB:O43482}.
Q9CQT2	reviewed	Rbm7	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y580}. Nucleus {ECO:0000269|PubMed:25525152}. Note=Excluded from the nucleolus. {ECO:0000250|UniProtKB:Q9Y580}.
B9EKR1	reviewed	Ptprz1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21969550}; Single-pass type I membrane protein {ECO:0000269|PubMed:21969550}. Secreted {ECO:0000269|PubMed:21969550}. Note=A secreted form is apparently generated by shedding of the extracellular domain.
Q8BHK2	reviewed	Scn3b	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q9R0N8	reviewed	Syt6	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:10531344}; Single-pass membrane protein {ECO:0000269|PubMed:10531344}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane; Single-pass membrane protein. Note=Localized predominantly to endoplasmic reticulum (ER) and/or Golgi-like perinuclear compartment (PubMed:10531344). {ECO:0000269|PubMed:10531344}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol {ECO:0000269|PubMed:10531344}. Cell membrane {ECO:0000269|PubMed:10531344}; Peripheral membrane protein {ECO:0000269|PubMed:10531344}.
Q9D552	reviewed	Spata17 Srg11	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15756417}.
Q6P1D5	reviewed	Sez6l Aig1l Kiaa0927	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:16814779}; Single-pass type I membrane protein {ECO:0000305|PubMed:16814779}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:16814779}; Single-pass type I membrane protein {ECO:0000269|PubMed:16814779}. Note=In cerebellar predominantly localized to the endoplasmic reticulum.
Q3TX08	reviewed	Trmt1 D8Ertd812e	
Q8BQJ6	reviewed	Trmt2b	
Q9Z199	reviewed	Supt4h1b Gm3258 Supt4b Supt4h2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P40645	reviewed	Sox6 Sox-6	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267}.
Q04886	reviewed	Sox8 Sox-8	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267}.
Q8K0E7	reviewed	Serinc2 Tde2l	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P40646	reviewed	Sox7 Sox-7	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:11691915}. Cytoplasm {ECO:0000269|PubMed:11691915}.
Q3TXT3	reviewed	Inip Ssbip1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Localizes to nuclear foci following DNA damage. {ECO:0000250}.
Q80ZI2	reviewed	Rtp2 Gm605	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15550249}; Single-pass type III membrane protein {ECO:0000269|PubMed:15550249}. Note=Effective cell surface expression depends upon interaction with olfactory receptors.
Q9CXA2	reviewed	L3hypdh	
Q8CFT2	reviewed	Setd1b Kiaa1076 Set1b	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}. Chromosome {ECO:0000250}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1A, suggesting that SETD1A and SETD1B each bind to a unique set of target genes. {ECO:0000250}.
P58043	reviewed	Sesn2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P58004}.
Q9JHX2	reviewed	Sp5	SUBCELLULAR LOCATION: Nucleus.
Q9ESX2	reviewed	Sp6 Epfn Klf14	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14551215}.
Q9JJF2	reviewed	Spag4 MNCb-0953 Sun4	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O55034}. Nucleus envelope {ECO:0000269|PubMed:26621829}. Nucleus inner membrane {ECO:0000305}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:O55034}. Note=In spermatids, isoform 1 is localized in the transient manchette and in the axoneme of elongating spermatids and epididymal sperm (By similarity). Conflictingly is not found in axoneme but only associated with the manchette where cytoplasmic microtubules contact the nuclear envelope. Localizes at the posterior lateral side of round and elongating spermatids (PubMed:26621829). {ECO:0000250|UniProtKB:O55034, ECO:0000269|PubMed:26621829}.
Q9JLI7	reviewed	Spag6 Pf16	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10684790}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:10684790}. Note=Associated with microtubules. Detected on the sperm flagellum.
Q3ULG3	reviewed	Srarp	
P70124	reviewed	Serpinb5 Pi5 Spi5 Spi7	SUBCELLULAR LOCATION: Secreted, extracellular space.
Q8C3S2	reviewed	Tango6 Kiaa1746 Tmco7	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9QZ47	reviewed	Tnnt3	
E9Q942	reviewed	Smim13	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q812A2	reviewed	Srgap3 Arhgap14 Kiaa0411 Srgap2	
Q78IQ7	reviewed	Slc39a4 Zip4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14612438}; Multi-pass membrane protein {ECO:0000269|PubMed:14612438}. Recycling endosome membrane {ECO:0000269|PubMed:14612438}; Multi-pass membrane protein {ECO:0000269|PubMed:14612438}. Note=Colocalized with TFRC in the recycling endosomes. Cycles between endosomal compartments and the plasma membrane in response to zinc availability.
Q91W10	reviewed	Slc39a8 Zip8	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q80XZ4	reviewed	Il22ra1	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P42703	reviewed	Lifr	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.
Q9D2V8	reviewed	Mfsd10 Tetran	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}.
Q9D7W5	reviewed	Med8 MNCb-2386	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q7TT79	reviewed	Mcph1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}.
Q9QZR5	reviewed	Hipk2 Nbak1 Stank	SUBCELLULAR LOCATION: Nucleus, PML body {ECO:0000269|PubMed:10535925, ECO:0000269|PubMed:11078605, ECO:0000269|PubMed:14990717, ECO:0000269|PubMed:20579985, ECO:0000269|PubMed:9748262}. Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus. Cytoplasm. Note=Isoform 2 seems to be both nuclear and cytoplasmic.
P02762	reviewed	Mup6	SUBCELLULAR LOCATION: Secreted.
Q9Z110	reviewed	Aldh18a1 P5cs Pycs	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P54886}.
P47713	reviewed	Pla2g4a Cpla2 Pla2g4	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic vesicle. Note=Translocates to membrane vesicles in a calcium-dependent fashion.
Q9EP73	reviewed	Cd274 B7h1 Pdcd1l1 Pdcd1lg1 Pdl1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9NZQ7}; Single-pass type I membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q9NZQ7}; Single-pass type I membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q9NZQ7}; Single-pass type I membrane protein {ECO:0000255}.
Q8VG03	reviewed	Olfr482 Mor204-14	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8VG09	reviewed	Olfr502 Mor204-8	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P21271	reviewed	Myo5b Kiaa1119	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70569}.
Q920A5	reviewed	Scpep1 Risc	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q80U58	reviewed	Pum2 Kiaa0235	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:19861488}. Cytoplasmic granule {ECO:0000269|PubMed:19861488}. Cytoplasm, perinuclear region {ECO:0000250}. Note=The cytoplasmic granules are stress granules which are a dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress. Colocalizes with NANOS1 and SNAPIN in the perinuclear region of germ cells (By similarity). Colocalizes with NANOS3 in the stress granules (PubMed:19861488). {ECO:0000250|UniProtKB:Q8TB72, ECO:0000269|PubMed:19861488}.
Q80ZJ1	reviewed	Rap2a	SUBCELLULAR LOCATION: Midbody {ECO:0000250}. Recycling endosome membrane {ECO:0000269|PubMed:19061864}; Lipid-anchor {ECO:0000269|PubMed:19061864}; Cytoplasmic side {ECO:0000269|PubMed:19061864}. Note=Localizes to midbody at telophase. May also localize to the Golgi and the gelatinase-containing granules of neutrophils. {ECO:0000250}.
Q9D3U0	reviewed	Pus10 Ccdc139	
Q99MK9	reviewed	Rassf1	SUBCELLULAR LOCATION: [Isoform A]: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Note=Localizes to cytoplasmic microtubules during interphase, to bipolar centrosomes associated with microtubules during prophase, to spindle fibers and spindle poles at metaphase and anaphase, to the midzone during early telophase, and to the midbody in late telophase in cells. Colocalizes with MDM2 in the nucleus (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform C]: Nucleus {ECO:0000250}. Note=Predominantly nuclear. {ECO:0000250}.
Q9CYH2	reviewed	Prxl2a Fam213a Pamm	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9BRX8}. Secreted {ECO:0000269|PubMed:26438880}. Note=Secreted from mature adipocytes but not from preadipocytes. {ECO:0000250|UniProtKB:Q9BRX8}.
Q9WUB3	reviewed	Pygm	
Q8K2P6	reviewed	Rfesd	
P35230	reviewed	Reg3b Pap Pap1	SUBCELLULAR LOCATION: Secreted. Note=Found in the apical region of pancreatic acinar cells. {ECO:0000250}.
Q8CHK2	reviewed	Rln3 Insl7	SUBCELLULAR LOCATION: Secreted.
Q60695	reviewed	Rgl1 Rgl	
Q9D300	reviewed	Rasgef1c	
Q9DD19	reviewed	Rassf7	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Colocalizes with gamma-tubulin. {ECO:0000250}.
Q8C2K5	reviewed	Rasal3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q86YV0}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q86YV0}.
P97492	reviewed	Rgs14	SUBCELLULAR LOCATION: Nucleus. Nucleus, PML body. Cytoplasm. Membrane. Cell membrane {ECO:0000250}. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cell projection, dendrite. Cell projection, dendritic spine. Cell junction, synapse, postsynaptic density. Note=Localizes with spindle poles during metaphase. Shuttles between the nucleus and cytoplasm in a CRM1-dependent manner. Recruited from the cytosol to the plasma membrane by the inactive GDP-bound forms of G(i) alpha subunits GNAI1 and GNAI3. Recruited from the cytosol to membranes by the active GTP-bound form of HRAS. Colocalizes with G(i) alpha subunit GNAI1 and RIC8A at the plasma membrane. Colocalizes with BRAF and RAF1 in both the cytoplasm and membranes (By similarity). Associates with the perinuclear sheaths of microtubules (MTs) surrounding the pronuclei, prior to segregating to the anastral mitotic apparatus and subsequently the barrel- shaped cytoplasmic bridge between the nascent nuclei of the emerging 2-cell embryo. Localizes to a perinuclear compartment near the microtubule-organizing center (MTOC). Expressed in the nucleus during interphase and segregates to the centrosomes and astral MTs during mitosis. Shuttles between the nucleus and cytoplasm in a CRM1-dependent manner. Relocalizes to the nucleus in PML nuclear bodies in respons to heat stress. Colocalizes with RIC8A in CA2 hippocampal neurons. {ECO:0000250}.
Q64FW2	reviewed	Retsat Ppsig	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15358783, ECO:0000269|PubMed:19139408}; Peripheral membrane protein {ECO:0000269|PubMed:15358783}.
O35595	reviewed	Ptch2	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q6P3B9	reviewed	Rbfa	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
P41593	reviewed	Pth1r Pthr Pthr1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8197183}; Multi-pass membrane protein {ECO:0000305}.
D3Z4S3	reviewed	Ptrhd1	
Q7TQD2	reviewed	Tppp	SUBCELLULAR LOCATION: Postsynaptic Golgi apparatus {ECO:0000250|UniProtKB:D3ZQL7}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:D3ZQL7}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:18028908}. Nucleus {ECO:0000269|PubMed:18028908}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:O94811}. Note=Specifically localizes to the postsynaptic Golgi apparatus region, also named Golgi outpost, which shapes dendrite morphology by functioning as sites of acentrosomal microtubule nucleation (By similarity). Mainly localizes to the cytoskeleton (PubMed:18028908). Also found in the nucleus; however, nuclear localization is unclear and requires additional evidences (PubMed:18028908). Localizes to glial Lewy bodies in the brains of individuals with synucleinopathies. During mitosis, colocalizes with LIMK2 at the mitotic spindle (By similarity). {ECO:0000250|UniProtKB:D3ZQL7, ECO:0000250|UniProtKB:O94811, ECO:0000269|PubMed:18028908}.
Q922B2	reviewed	Dars	SUBCELLULAR LOCATION: Cytoplasm.
Q8BTK5	reviewed	Smyd4 Kiaa1936	
Q8BIP0	reviewed	Dars2	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q6PI48}.
P28663	reviewed	Napb Snapb	SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein.
Q8C5U4	reviewed	Spem2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q8BGT7	reviewed	Smndc1 Smnr Spf30	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250}. Nucleus, Cajal body {ECO:0000250}. Note=Detected in nuclear speckles containing snRNP and in Cajal (coiled) bodies. {ECO:0000250}.
Q9WU12	reviewed	Snurf	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10318933}.
Q9CRB0	reviewed	Snx24	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.
Q9WV80	reviewed	Snx1	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:Q13596}; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus, trans-Golgi network membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Early endosome membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q13596}. Note=Enriched on tubular elements of the early endosome membrane. Binds preferentially to highly curved membranes enriched in phosphatidylinositol 3-phosphate (PtdIns(3P)) or phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2). Colocalized with SORT1 to tubular endosomal membrane structures called endosome-to-TGN transport carriers (ETCs) which are budding from early endosome vacuoles just before maturing into late endosome vacuoles. Colocalized with F-actin at the leading edge of lamellipodia in a KALRN-dependent manner. {ECO:0000250|UniProtKB:Q13596}.
Q80U72	reviewed	Scrib Kiaa0147 Lap4 Scrib1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q14160}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q14160}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q14160}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q14160}. Cytoplasm {ECO:0000250|UniProtKB:Q14160}. Cell junction, synapse, postsynapse {ECO:0000250|UniProtKB:Q14160}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:Q14160}. Note=Targeting to cell-cell junctions which is CDH1-dependent is required for the pro-apoptotic activity. {ECO:0000250|UniProtKB:Q14160}.
O55055	reviewed	Trdmt1 Dnmt2 Met2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O14717}.
Q8VCA8	reviewed	Scrn2	
Q3TMH2	reviewed	Scrn3	
Q8BGX7	reviewed	Spidr Kiaa0146	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Together with BLM, is redistributed in discrete nuclear DNA damage-induced foci following hydroxyurea (HU) or camptothecin (CPT) treatment. {ECO:0000250}.
Q9JL59	reviewed	Sectm1b K12 Sectm1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:10652336}; Single-pass type I membrane protein {ECO:0000305|PubMed:10652336}. Secreted {ECO:0000250}.
Q6P549	reviewed	Inppl1 Ship2	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9WVR3}. Cytoplasm, cytoskeleton {ECO:0000250}. Membrane {ECO:0000250|UniProtKB:Q9WVR3}; Peripheral membrane protein. Cell projection, filopodium {ECO:0000250|UniProtKB:O15357}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:O15357}. Nucleus {ECO:0000250|UniProtKB:D7PF45}. Nucleus speckle {ECO:0000250|UniProtKB:D7PF45}. Note=Translocates to membrane ruffles when activated, translocation is probably due to different mechanisms depending on the stimulus and cell type. Partly translocated via its SH2 domain which mediates interaction with tyrosine phosphorylated receptors such as the FC-gamma-RIIB receptor (FCGR2B). Tyrosine phosphorylation may also participate in membrane localization. Insulin specifically stimulates its redistribution from the cytosol to the plasma membrane. Recruited to the membrane following M-CSF stimulation. In activated spreading platelets, localizes with actin at filopodia, lamellipodia and the central actin ring.
Q99NH8	reviewed	Trem2 Trem2a Trem2b Trem2c	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:24990881}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.
Q9EPT5	reviewed	Slco2a1 Oatp2a1 Slc21a2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q99J94	reviewed	Slco1a6 Oatp5 Slc21a13	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9R1A9	reviewed	Trex2	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P49660	reviewed	Sstr4 Smstr4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q5QD07	reviewed	Taar8a Gm230	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8C110	reviewed	Slitrk6 Sltk6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Q5QD06	reviewed	Taar8b Gm1149	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8K2Q9	reviewed	Shtn1 Kiaa1598	SUBCELLULAR LOCATION: Perikaryon {ECO:0000269|PubMed:23864681}. Cell projection, axon {ECO:0000269|PubMed:23864681}. Cell projection, growth cone {ECO:0000269|PubMed:17030985, ECO:0000269|PubMed:23864681}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:23864681}. Cell projection, filopodium {ECO:0000250|UniProtKB:A0MZ67}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:A0MZ67}. Note=Localizes in multiple growth cones at neurite tips before the neuronal symmetry-breaking step. Accumulates in growth cones of a single nascent axon in a neurite length-dependent manner during the neuronal symmetry-breaking step; when absent from the nascent axon's siblings, probably due to competitive transport, prevents the formation of surplus axons. Transported anterogradely from the soma to the axon growth cone in an actin and myosin-dependent manner and passively diffuses back to the cell bodies. Colocalized with L1CAM in close apposition with actin filaments in filopodia and lamellipodia of axonal growth cones in hippocampal neurons. Exhibits retrograde movements in filopodia and lamellopodia of axonal growth cones (By similarity). Colocalized with KIF20B along microtubules to the tip of the growing cone in primary hippocampal neurons (PubMed:23864681). Recruted to the growth cone of developing axon in a KIF20B- and microtubule-dependent manner (PubMed:23864681). {ECO:0000250|UniProtKB:A0MZ67, ECO:0000269|PubMed:23864681}.
Q9WU03	reviewed	Spint2 Hai2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
D3YWJ0	reviewed	Nuggc	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:22833677}.
P70390	reviewed	Shox2 Og12x Prx3	SUBCELLULAR LOCATION: Nucleus.
Q923Y8	reviewed	Taar1 Ta1 Tar1 Trar1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9D8T7	reviewed	Slirp	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Nucleus {ECO:0000250}. Note=Predominantly mitochondrial. Some fraction is nuclear. In the nucleus, it is recruited to nuclear receptor target promoters (By similarity). {ECO:0000250}.
Q5QD17	reviewed	Taar2 Gm225 Gpr58	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
O35717	reviewed	Socs2 Cis2 Cish2	
Q9JLY0	reviewed	Socs6 Cis4 Cish4 Socs4	
Q9JJL8	reviewed	Sars2 Sarsm	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:15081407}.
Q8R0G7	reviewed	Spns1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q62158	reviewed	Trim27 Rfp	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P14373}. Cytoplasm {ECO:0000250|UniProtKB:P14373}. Nucleus, PML body {ECO:0000250}. Endosome {ECO:0000250}. Note=Nuclear or cytoplasmic depending on the cell type. Recruited to retromer-containing endosomes via interaction with MAGEL2 (By similarity). Colocalized with PML and EIF3S6 in nuclear bodies. {ECO:0000250, ECO:0000269|PubMed:10571821}.
Q8BVW3	reviewed	Trim14 Kiaa0129 Pub	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q14142}.
Q9WTK8	reviewed	Spo11	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q8K1J5	reviewed	Sde2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q6IQ49}.
Q9Z123	reviewed	Sema4f Semaw	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, synapse, postsynaptic density {ECO:0000250|UniProtKB:Q9Z143}. Perikaryon {ECO:0000269|PubMed:21945643}. Cell projection, dendrite {ECO:0000269|PubMed:21945643}. Note=Colocalizes with DLG4 at synapses. {ECO:0000269|PubMed:21945643}.
O88632	reviewed	Sema3f	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q80WG7	reviewed	Trim36	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NQ86}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:12917430}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19232519}. Note=Found in the acrosomal region of elongated spermatids and mature sperm (PubMed:12917430). Colocalizes with alpha-tubulin (PubMed:19232519). {ECO:0000269|PubMed:12917430, ECO:0000269|PubMed:19232519}.
Q6P7W5	reviewed	Tsen2 Sen2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Note=May be transiently localized in the nucleolus. {ECO:0000250}.
